Hour,energy_consumpt_2001,energy_consumpt_2002,full_temp_2001,full_humid_2001,full_temp_2002,full_humid_2002
1,631.6231606,835.0215673,-0.4,64,7.6,82
2,534.3971036,711.8753737,-0.733333333,65.33333333,7.733333333,78.66666667
3,453.5387845,592.6732146,-1.066666667,66.66666667,7.866666667,75.33333333
4,400.699718,526.997961,-1.4,68,8,72
5,378.1710923,497.5886417,-1.666666667,60.33333333,8.333333333,69.66666667
6,381.4146052,504.5068106,-1.933333333,52.66666667,8.666666667,67.33333333
7,419.8689667,552.9602991,-2.2,45,9,65
8,498.4758317,665.6969995,-0.666666667,40.66666667,9.4,62
9,591.4950485,822.2598553,0.866666667,36.33333333,9.8,59
10,655.7380046,920.6006694,2.4,32,10.2,56
11,690.3901069,967.633731,4.2,27,11.06666667,53
12,700.2390682,966.8583742,6,22,11.93333333,50
13,701.3254435,952.6588578,7.8,17,12.8,47
14,695.1883902,929.816354,7.733333333,18.66666667,12.2,55.66666667
15,679.0106883,905.154846,7.666666667,20.33333333,11.6,64.33333333
16,674.1345643,905.796353,7.6,22,11,73
17,713.9345428,962.7824595,6.8,27.33333333,10.73333333,75.33333333
18,769.7382941,1045.292522,6,32.66666667,10.46666667,77.66666667
19,762.6454746,1041.696839,5.2,38,10.2,80
20,752.5827524,1025.387123,5,43.33333333,10.53333333,77
21,721.7086469,994.0115426,4.8,48.66666667,10.86666667,74
22,672.4991692,932.736971,4.6,54,11.2,71
23,611.9041266,829.0719958,4.4,58.66666667,11.8,76.66666667
24,525.4829772,716.6485734,4.2,63.33333333,12.4,82.33333333
25,437.8155307,601.4735149,4,68,13,88
26,376.9645693,515.8959881,3.866666667,71.33333333,11.6,87
27,345.991472,468.1407867,3.733333333,74.66666667,10.2,86
28,326.6505783,452.3976631,3.6,78,8.8,85
29,326.3634914,454.1682602,3.4,79.33333333,8.666666667,84
30,350.2156743,484.6136036,3.2,80.66666667,8.533333333,83
31,411.7650593,567.6761205,3,82,8.4,82
32,525.1917057,721.9327788,4.733333333,76.66666667,8.533333333,82.66666667
33,641.3298563,903.5117678,6.466666667,71.33333333,8.666666667,83.33333333
34,697.2151174,995.0320772,8.2,66,8.8,84
35,698.1645214,1005.017382,9.3,58,9.866666667,77.66666667
36,683.7345983,1000.926265,10.4,50,10.93333333,71.33333333
37,666.8483294,999.7276099,11.5,42,12,65
38,661.4380658,1000.937147,11.66666667,40.33333333,11.46666667,70.33333333
39,651.7579798,1002.031289,11.83333333,38.66666667,10.93333333,75.66666667
40,661.448971,1014.393319,12,37,10.4,81
41,714.5924385,1067.939723,10.66666667,43,9.733333333,80
42,779.9821718,1122.530456,9.333333333,49,9.066666667,79
43,781.0755773,1118.762932,8,55,8.4,78
44,770.1810177,1113.839089,7.933333333,56.33333333,8.133333333,80.33333333
45,751.3544666,1101.257021,7.866666667,57.66666667,7.866666667,82.66666667
46,688.8800529,1023.125817,7.8,59,7.6,85
47,616.1704635,901.4614448,7.666666667,69.33333333,7.466666667,86
48,513.6577663,730.5417961,7.533333333,79.66666667,7.333333333,87
49,428.5405909,605.1974924,7.4,90,7.2,88
50,373.9563624,525.0665719,7.866666667,86,7,87
51,340.0978953,481.4528981,8.333333333,82,6.8,86
52,322.6261842,467.0685108,8.8,78,6.6,85
53,324.0443419,470.7880489,9.2,75.33333333,6.266666667,84
54,347.1421379,518.1218413,9.6,72.66666667,5.933333333,83
55,410.042675,0,10,70,5.6,82
56,511.8349492,853.0843341,10.33333333,73.33333333,6,78
57,629.9642623,1052.604189,10.66666667,76.66666667,6.4,74
58,706.5452777,1132.634096,11,80,6.8,70
59,737.9226919,1160.732269,10.8,85,8.533333333,58
60,736.8713938,1160.878396,10.6,90,10.26666667,46
61,732.8182827,1169.794652,10.4,95,12,34
62,726.8765829,1169.657164,10.33333333,94,12.6,32
63,718.5508441,1160.338867,10.26666667,93,13.2,30
64,710.4182935,1159.06916,10.2,92,13.8,28
65,734.8257773,1190.223275,9.933333333,90,12,38.66666667
66,767.2647685,1248.754046,9.666666667,88,10.2,49.33333333
67,765.8572975,1247.737734,9.4,86,8.4,60
68,759.9804948,1220.606855,9.066666667,87.33333333,8.066666667,58.66666667
69,734.2759139,1200.586789,8.733333333,88.66666667,7.733333333,57.33333333
70,669.3376134,1112.504429,8.4,90,7.4,56
71,583.5307949,968.8682337,8.4,90,7.733333333,56
72,487.8052216,790.7139378,8.4,90,8.066666667,56
73,396.1457293,643.5332687,8.4,90,8.4,56
74,335.614092,561.7411894,8.333333333,89.66666667,8,65
75,309.5932035,520.3395727,8.266666667,89.33333333,7.6,74
76,303.4378351,505.0903283,8.2,89,7.2,83
77,311.33116,512.3999163,8.133333333,87.66666667,6.6,84
78,348.3037653,563.900163,8.066666667,86.33333333,6,85
79,436.1081462,706.6435171,8,85,5.4,86
80,564.6589248,919.4228382,8.4,83.33333333,5.933333333,80
81,667.9528515,1128.078232,8.8,81.66666667,6.466666667,74
82,724.2921556,1221.097364,9.2,80,7,68
83,737.8092964,1242.030836,10.06666667,78,8.8,58
84,735.6307632,1236.313988,10.93333333,76,10.6,48
85,744.5041808,1247.313489,11.8,74,12.4,38
